card,group,scene,policy,upgraded,mode,control,n,before_valid,after_valid,before_dwin_pp,after_dwin_pp,after_ci95_lo_pp,after_ci95_hi_pp,before_dhp,after_dhp,before_dturns,after_dturns,before_plays,after_plays,before_ready_plays,after_ready_plays,after_seen_turns,after_playable_turns,after_empty_plays,after_unused_qi,before_aborts,after_aborts,final_source
wanren,primary,new-account,tactical,0,add1,skip,300,True,True,-0.6667,0.6667,-1.9578,3.2692,-2.08333,-0.65333,-0.31,-0.52,244,356,0,0,508,495,0,1,0,0,after-wanren
wanren,primary,new-account,tactical,0,add2,skip,300,True,True,-1.3333,0,-3.0212,3.0212,-2.44,-0.64667,-0.44333,-0.79,385,549,0,0,837,823,0,1,0,0,after-wanren
wanren,primary,new-account,tactical,0,replace,yanqiyansha,300,True,True,-1.3333,-0.3333,-2.754,2.0983,-3.08,-1.68333,0.06333,-0.14,244,356,0,0,508,495,0,1,0,0,after-wanren
wanren,primary,new-account,tactical,1,add1,skip,300,True,True,0.3333,0.6667,-1.9578,3.2692,-0.84333,0.54333,-0.54,-0.75,348,407,0,0,498,488,0,2,0,0,after-wanren
wanren,primary,new-account,tactical,1,add2,skip,300,True,True,-1.0,1.0,-1.7955,3.7625,-1.06333,1.60667,-0.81333,-1.16667,536,583,0,0,770,758,0,1,0,0,after-wanren
wanren,primary,new-account,tactical,1,replace,yanqiyansha,300,True,True,-0.6667,-0.6667,-2.8024,1.4911,-3.88667,-2.55667,0.13667,-0.09,348,407,0,0,498,488,0,2,0,0,after-wanren
wanren,primary,strength,greedy,0,add1,skip,300,True,True,-0.3333,3.0,-0.9025,6.8037,-4.49333,-1.02,0.13667,-0.14333,469,449,0,0,466,449,0,0,0,0,after-wanren
wanren,primary,strength,greedy,0,add2,skip,300,True,True,-4.6667,1.3333,-3.3089,5.9316,-6.76,-1.48667,0.04,-0.37,780,726,0,0,850,832,0,0,0,0,after-wanren
wanren,primary,strength,greedy,0,replace,shuiyanqijun,300,True,True,-3.0,0.3333,-2.0983,2.754,-2.72333,0.75,0.11667,-0.16333,469,449,0,0,466,449,0,0,0,0,after-wanren
wanren,primary,strength,greedy,1,add1,skip,300,True,True,3.0,3.3333,-0.3543,6.9112,-1.02,2.24,-0.14333,-0.46,449,429,0,0,447,429,0,0,0,0,after-wanren
wanren,primary,strength,greedy,1,add2,skip,300,True,True,1.3333,3.6667,-0.1231,7.3357,-1.48667,3.90333,-0.37,-0.82667,726,667,0,0,784,767,0,0,0,0,after-wanren
wanren,primary,strength,greedy,1,replace,shuiyanqijun,300,True,True,-0.3333,0,-2.2058,2.2058,-2.06333,1.19667,0.23,-0.08667,449,429,0,0,447,429,0,0,0,0,after-wanren
wanren,primary,strength,tactical,0,add1,skip,300,True,True,0,0,-1.647,1.647,-1.28667,-0.29667,-0.04333,-0.25,253,317,0,0,439,432,0,3,0,0,after-wanren
wanren,primary,strength,tactical,0,add2,skip,300,True,True,0,0,-1.647,1.647,-2.73,-1.41,-0.00333,-0.38667,440,532,0,0,818,813,0,3,0,0,after-wanren
wanren,primary,strength,tactical,0,replace,shuiyanqijun,300,True,True,0,0,-1.647,1.647,-0.96333,0.02667,0.22333,0.01667,253,317,0,0,439,432,0,3,0,0,after-wanren
